Name,TeamID
Mike Budenholzer,25
Brad Stevens,20
Kenny Atkinson,14
Fred Hoiberg,26
Steve Clifford,10
Tyronn Lue,5
Rick Carlisle,28
Mike Malone,6
Stan Van Gundy,22
Steve Kerr,1
Mike D'Antoni,2
Nate McMillan,17
Doc Rivers,9
Luke Walton,11
David Fizdale,29
J.B. Bickerstaff,29
Erik Spoelstra,23
Jason Kidd,15
Joe Prunty,15
Tom Thibodeau,8
Alvin Gentry,3
Jeff Hornacek,18
Billy Donovan,12
Frank Vogel,24
Brett Brown,7
Earl Watson,21
Jay Triano,21
Terry Stotts,16
Dave Joerger,30
Gregg Popovich,27
Dwane Casey,4
Quin Snyder,19
Scott Brooks,13
